,A02l_A1R,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A1L,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,time
109,154.06060606060606,234.9,203.69230769230768,749.0232558139535,1130.8653846153845,987.6111111111111,873.5483870967741,159.03846153846155,392.04545454545456,455.8157894736842,673.1363636363636,789.7692307692307,404.3666666666667,3.4047966666666665
110,142.63636363636363,221.83333333333334,235.19230769230768,804.2093023255813,1101.25,976.1666666666666,822.3548387096774,147.34615384615384,362.47727272727275,439.7894736842105,666.3863636363636,826.8461538461538,405.6,3.436033333333333
111,137.15151515151516,248.1,198.46153846153845,779.8139534883721,1067.7307692307693,973.3333333333334,832.9032258064516,161.03846153846155,380.3636363636364,415.2368421052632,653.2272727272727,848.3846153846154,386.8,3.46727
112,129.21212121212122,247.0,193.23076923076923,780.3023255813954,1120.8846153846155,943.75,835.741935483871,149.15384615384616,359.90909090909093,492.42105263157896,623.5909090909091,811.1153846153846,392.8,3.4985066666666667
113,161.12121212121212,243.43333333333334,226.46153846153845,730.8372093023256,1078.0192307692307,980.5277777777778,870.0967741935484,149.1153846153846,404.70454545454544,458.1842105263158,609.1818181818181,866.1153846153846,428.6666666666667,3.5297433333333332
114,147.66666666666666,223.53333333333333,218.69230769230768,759.5813953488372,1112.6538461538462,865.6388888888889,901.2903225806451,180.15384615384616,362.8863636363636,451.2894736842105,679.4318181818181,847.0769230769231,448.6,3.56098
115,136.4848484848485,220.1,213.42307692307693,780.8604651162791,1076.1538461538462,943.3888888888889,822.2258064516129,137.1153846153846,372.77272727272725,478.13157894736844,653.5227272727273,818.5,409.6666666666667,3.5922166666666664
116,145.6969696969697,225.16666666666666,204.65384615384616,799.5581395348837,1020.1730769230769,960.9444444444445,885.2903225806451,146.1153846153846,363.6363636363636,427.2368421052632,652.5,821.3846153846154,398.8666666666667,3.6234533333333334
117,145.33333333333334,224.46666666666667,236.15384615384616,802.8139534883721,1026.8076923076924,884.25,910.0,147.3846153846154,353.9318181818182,450.2105263157895,644.3181818181819,825.7307692307693,392.1333333333333,3.65469
118,148.45454545454547,228.86666666666667,210.53846153846155,799.1627906976744,1057.9615384615386,887.0,857.0,148.5,372.8636363636364,451.94736842105266,654.7272727272727,825.8076923076923,408.76666666666665,3.6859266666666666
119,149.1818181818182,224.63333333333333,200.30769230769232,800.6511627906976,1103.1923076923076,902.7222222222222,889.4516129032259,158.26923076923077,358.75,478.9736842105263,639.0,832.6923076923077,393.1333333333333,3.717163333333333
120,146.03030303030303,248.73333333333332,209.6153846153846,737.7441860465116,1110.75,946.5,834.7096774193549,164.73076923076923,371.0,453.86842105263156,627.3636363636364,871.9230769230769,385.3,3.7483999999999997
121,134.78787878787878,217.26666666666668,203.26923076923077,816.8139534883721,1105.6346153846155,914.3888888888889,877.0,143.53846153846155,375.5681818181818,515.2894736842105,647.6818181818181,891.5,421.0,3.7796366666666668
122,140.78787878787878,251.53333333333333,222.6153846153846,816.5813953488372,1116.923076923077,902.1388888888889,891.0645161290323,140.69230769230768,388.40909090909093,465.5,670.1590909090909,865.8461538461538,387.43333333333334,3.8108733333333333
