,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
154,463.89473684210526,609.188679245283,466.43939393939394,268.6923076923077,503.82608695652175,745.8823529411765,518.6666666666666,341.8157894736842,204.24489795918367,4.7881936666666665
155,460.7631578947368,669.433962264151,523.7121212121212,263.40384615384613,510.89130434782606,730.6764705882352,506.2142857142857,356.13157894736844,210.77551020408163,4.819285833333334
156,490.6842105263158,639.0754716981132,560.0,245.0,518.0,780.5294117647059,513.047619047619,400.2368421052632,198.3877551020408,4.850378
157,472.55263157894734,654.9056603773585,600.3484848484849,247.8653846153846,502.17391304347825,719.9705882352941,558.2619047619048,434.5,178.9795918367347,4.881470166666666
158,474.44736842105266,689.6603773584906,636.530303030303,251.44230769230768,528.3260869565217,708.0,524.5952380952381,485.7105263157895,209.6734693877551,4.912562333333334
159,470.92105263157896,664.9811320754717,671.060606060606,254.76923076923077,467.4130434782609,733.1764705882352,525.2857142857143,493.10526315789474,206.3265306122449,4.9436545
160,491.44736842105266,645.622641509434,712.2727272727273,258.25,542.9130434782609,700.9411764705883,558.3333333333334,507.2105263157895,193.57142857142858,4.974746666666666
161,507.1842105263158,652.7735849056604,770.5454545454545,238.17307692307693,499.5652173913044,744.0,502.2142857142857,505.36842105263156,221.10204081632654,5.005838833333334
162,480.07894736842104,630.0188679245283,780.1969696969697,268.5576923076923,501.7826086956522,722.5294117647059,572.547619047619,560.4473684210526,224.73469387755102,5.036931
163,473.44736842105266,652.566037735849,795.9090909090909,257.7307692307692,503.89130434782606,681.6764705882352,536.2619047619048,542.6842105263158,232.6326530612245,5.068023166666666
164,458.92105263157896,627.811320754717,817.0757575757576,290.71153846153845,511.4782608695652,711.9411764705883,539.0238095238095,592.6578947368421,240.83673469387756,5.099115333333334
165,443.63157894736844,653.2452830188679,898.8484848484849,293.40384615384613,510.2391304347826,709.5588235294117,542.6190476190476,555.6842105263158,243.46938775510205,5.1302075
166,447.0263157894737,672.4528301886793,914.2272727272727,326.1730769230769,500.6521739130435,667.0588235294117,542.2857142857143,603.0263157894736,255.40816326530611,5.161299666666666
167,443.0,652.2452830188679,916.3484848484849,359.88461538461536,465.30434782608694,721.4411764705883,572.6428571428571,588.6052631578947,282.2244897959184,5.192391833333334
168,464.42105263157896,633.3018867924528,919.8333333333334,369.75,496.7608695652174,707.3235294117648,553.6190476190476,629.1842105263158,272.3673469387755,5.223484
169,440.57894736842104,608.8679245283018,998.939393939394,415.88461538461536,510.9782608695652,712.0588235294117,573.3809523809524,592.1842105263158,355.9183673469388,5.254576166666666
