,A02l_A2R,A02l_A3R,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,A02l_A2L,A02l_A3L,A02l_A4L,A02l_A5L,A02l_A6L,A02l_A7L,time
94,704.9130434782609,903.3783783783783,1351.0892857142858,1111.4772727272727,1341.8510638297873,1615.2272727272727,362.1,829.8333333333334,617.3888888888889,916.0322580645161,1205.121951219512,1405.188679245283,2.9126996666666667
95,709.7173913043479,929.1081081081081,1341.3214285714287,1118.4772727272727,1388.2340425531916,1638.75,344.06666666666666,860.8666666666667,627.2222222222222,922.5483870967741,1182.4634146341464,1350.6603773584907,2.9436858333333333
96,709.6739130434783,922.2972972972973,1321.267857142857,1173.6136363636363,1278.6382978723404,1596.5454545454545,336.06666666666666,815.2666666666667,580.1111111111111,898.3225806451613,1147.7560975609756,1355.0188679245282,2.974672
97,751.3913043478261,915.3513513513514,1383.482142857143,1118.909090909091,1295.9787234042553,1618.659090909091,369.2,783.9666666666667,613.8055555555555,952.7741935483871,1206.5121951219512,1405.8301886792453,3.0056581666666666
98,719.195652173913,898.4324324324324,1336.767857142857,1190.159090909091,1278.0,1639.7272727272727,362.3666666666667,760.6666666666666,598.6666666666666,874.8709677419355,1156.439024390244,1411.5283018867924,3.0366443333333333
99,724.4565217391304,893.4324324324324,1373.732142857143,1130.8636363636363,1339.5744680851064,1644.4545454545455,298.93333333333334,818.3,614.25,912.9354838709677,1108.8536585365853,1331.245283018868,3.0676305
100,726.5434782608696,903.081081081081,1334.5892857142858,1162.75,1351.276595744681,1629.659090909091,320.4,858.6333333333333,646.9444444444445,914.1612903225806,1178.7073170731708,1336.4905660377358,3.0986166666666666
101,708.9347826086956,936.8108108108108,1381.732142857143,1122.6363636363637,1348.340425531915,1617.3181818181818,324.73333333333335,823.6666666666666,657.0555555555555,859.6774193548387,1122.3658536585365,1344.622641509434,3.1296028333333332
102,681.7608695652174,911.1621621621622,1302.357142857143,1098.1136363636363,1359.8085106382978,1649.2045454545455,326.56666666666666,872.7333333333333,624.1388888888889,921.4516129032259,1154.9268292682927,1347.7169811320755,3.160589
103,713.8913043478261,875.7567567567568,1375.2857142857142,1085.0,1322.7659574468084,1594.090909090909,333.76666666666665,811.0666666666667,576.8333333333334,971.1612903225806,1163.6341463414635,1331.5471698113208,3.1915751666666665
