,A02l_A4R,A02l_A5R,A02l_A6R,A02l_A7R,nSyb_A4R,nSyb_A5R,nSyb_A6R,nSyb_A7R,time
153,998.4363636363636,1424.4496124031007,1318.3622047244094,961.4607843137255,1718.2076923076922,1725.501138952164,1492.5826972010177,1050.4336569579289,15.434681475903615
154,1005.790909090909,1408.906976744186,1341.8582677165355,953.1960784313726,1750.1666666666667,1709.111617312073,1493.9287531806615,1049.4304207119742,15.535561746987952
155,1010.0636363636364,1400.6201550387598,1319.8740157480315,955.8333333333334,1733.2897435897437,1711.617312072893,1512.1272264631043,1058.527508090615,15.63644201807229
156,990.7272727272727,1348.4806201550387,1314.3070866141732,955.6666666666666,1748.6589743589743,1708.2300683371298,1484.4478371501273,1053.177993527508,15.737322289156626
157,991.9181818181818,1359.3798449612402,1317.7874015748032,914.5490196078431,1721.274358974359,1733.9544419134397,1490.9821882951653,1054.631067961165,15.838202560240964
158,1014.7181818181818,1379.6434108527133,1274.015748031496,993.0196078431372,1770.4717948717948,1713.5239179954442,1507.1119592875318,1060.3948220064724,15.939082831325301
159,985.0181818181818,1368.6744186046512,1288.2047244094488,946.1764705882352,1736.0948717948718,1697.5968109339408,1496.6463104325699,1039.822006472492,16.03996310240964
160,979.7454545454545,1347.3798449612402,1316.275590551181,905.0882352941177,1742.1076923076923,1715.9225512528474,1493.9058524173029,1047.990291262136,16.140843373493976
161,1004.0909090909091,1363.9302325581396,1299.8818897637796,951.0686274509804,1739.8692307692309,1673.8223234624145,1480.1603053435115,1054.2168284789643,16.241723644578315
162,985.7,1392.8682170542636,1318.023622047244,980.6078431372549,1733.0333333333333,1686.4350797266516,1481.7226463104325,1064.168284789644,16.34260391566265
163,957.1181818181818,1375.5116279069769,1266.2047244094488,980.7843137254902,1753.6871794871795,1722.004555808656,1500.6106870229007,1039.4563106796118,16.44348418674699
164,1012.6636363636363,1371.6744186046512,1280.9448818897638,975.0196078431372,1751.7564102564102,1706.635535307517,1488.1704834605598,1035.8252427184466,16.544364457831325
165,994.709090909091,1351.7131782945737,1314.5984251968505,926.7450980392157,1736.1538461538462,1688.0,1477.5699745547074,1052.4077669902913,16.645244728915664
166,990.2181818181818,1393.2635658914728,1295.0787401574803,953.5980392156863,1735.8307692307692,1693.8610478359908,1499.643765903308,1056.1035598705503,16.746125
167,1036.6454545454546,1397.5038759689924,1293.4724409448818,953.7941176470588,1749.179487179487,1712.870159453303,1493.9033078880407,1041.1909385113267,16.84700527108434
168,992.1818181818181,1385.3100775193798,1298.5275590551182,983.0,1729.623076923077,1699.257403189066,1485.7455470737914,1047.8446601941748,16.947885542168674
169,1001.9545454545455,1368.0697674418604,1311.8267716535433,946.8333333333334,1742.7282051282052,1685.3029612756263,1490.381679389313,1051.6084142394823,17.048765813253013
170,974.3909090909091,1366.8992248062016,1294.8031496062993,991.656862745098,1737.6641025641027,1696.8610478359908,1471.554707379135,1057.517799352751,17.14964608433735
171,998.5181818181818,1381.5271317829458,1309.6299212598426,942.3333333333334,1724.253846153846,1696.4214123006834,1492.3027989821883,1042.1229773462783,17.250526355421687
